r,g,b,lang_code,human_raw,human_norm
255,184,0,en,mustard,mustard
255,0,35,en,red,red
64,0,255,en,blue,blue
233,255,0,en,yellow,yellow
255,0,165,en,purple,purple
255,161,0,en,mustard,mustard
255,118,0,en,mustard,mustard
209,0,255,en,purple,purple
255,0,62,en,red,red
255,73,0,en,brown,brown
255,9,0,en,red,red
223,0,255,en,purple,purple
255,251,0,en,yellow,yellow
159,0,255,en,purple,purple
255,182,0,en,yellow,yellow
255,205,0,en,yellow,yellow
255,0,199,en,purple,purple
255,0,108,en,pink,pink
178,0,255,en,purple,purple
255,0,69,en,pink,pink
255,0,244,en,purple,purple
255,0,172,en,pink,pink
255,116,0,en,orange,orange
190,255,0,en,yellow,yellow
255,130,0,en,orange,orange
255,225,0,en,yellow,yellow
134,255,0,en,green,green
45,255,0,en,green,green
255,0,39,en,red,red
255,0,124,en,pink,pink
255,139,0,en,orange,orange
218,255,0,en,neon yellow,neon yellow
242,0,255,en,magenta,magenta
255,0,88,en,strawberry red,strawberry red
245,255,0,en,yellow,yellow
255,218,0,en,golden,gold
157,255,0,en,lime green,lime
255,0,74,en,red,red
134,0,255,en,violet,violet
255,93,0,en,burnt orange,burnt orange
26,255,0,en,lime green,lime
205,0,255,en,purple,purple
255,0,31,en,fire engine red,fire engine red
255,0,179,en,magenta,magenta
255,71,0,en,yellow orange,yellow orange
255,164,0,en,orange,orange
255,0,161,en,magenta,magenta
255,0,122,en,hot pink,hot pink
255,194,0,en,golden,gold
42,255,0,en,lime green,lime
255,0,245,en,neon purple,neon purple
255,189,0,en,gold,gold
255,172,0,en,burnt gold,burnt gold
71,255,0,en,neon green,neon green
114,0,255,en,indigo,indigo
255,216,0,en,goldenrod,goldenrod
255,0,106,en,pink,pink
255,0,189,en,pink,pink
255,0,229,en,purple,purple
255,121,0,en,orange,orange
175,255,0,en,green,green
255,0,67,en,red,red
117,0,255,en,purple,purple
255,167,0,en,orange,orange
171,0,255,en,violet,violet
255,0,192,en,magenta,magenta
255,0,9,en,red,red
255,0,247,en,magenta,magenta
79,0,255,en,blue,blue
134,255,0,en,green,green
255,0,161,en,pink,pink
125,255,0,en,green,green
255,108,0,en,orange,orange
255,195,0,en,orange,orange
255,0,215,en,pink,pink
255,226,0,en,yellow,yellow
255,0,90,en,hot pink,hot pink
253,255,0,en,yellow,yellow
255,73,0,en,orangey red,orangey red
202,255,0,en,lime,lime
255,150,0,en,orange,orange
255,0,118,en,pink,pink
255,0,134,en,pink,pink
255,0,174,en,pink,pink
255,104,0,en,orange,orange
255,230,0,en,yellow,yellow
183,255,0,en,yellow,yellow
255,0,187,en,pink,pink
255,0,80,en,red,red
255,164,0,en,orange,orange
150,0,255,en,purple,purple
192,0,255,en,violet,violet
44,255,0,en,green,green
255,191,0,en,orange,orange
216,255,0,en,yellow,yellow
255,0,218,en,pink,pink
255,25,0,en,red,red
255,0,26,en,red,red
255,0,105,en,red,red
50,0,255,en,blue,blue
255,144,0,en,orange,orange
255,0,252,en,pink,pink
240,255,0,en,yellow,yellow
255,194,0,en,orange,orange
255,218,0,en,amber,amber
255,129,0,en,orange,orange
255,0,223,en,pink,pink
230,0,255,en,purple,purple
255,0,153,en,red,red
213,0,255,en,violet,violet
255,0,71,en,red,red
255,0,21,en,red,red
163,255,0,en,green,green
255,114,0,en,orange,orange
76,0,255,en,blue,blue
233,255,0,en,yellow,yellow
255,0,126,en,red,red
255,74,0,en,red,red
112,0,255,en,blue,blue
255,157,0,en,orange,orange
255,0,201,en,pink,pink
255,0,95,en,red,red
188,255,0,en,green,green
97,255,0,en,green,green
255,0,221,en,magenta,magenta
155,0,255,en,purple,purple
61,0,255,en,blue,blue
255,239,0,en,yellow,yellow
255,0,32,en,red,red
255,136,0,en,orange,orange
255,76,0,en,dark orange,dark orange
197,255,0,en,lime green,lime
255,0,204,en,magenta,magenta
227,0,255,en,purple,purple
255,0,176,en,pink,pink
255,175,0,en,orange,orange
255,0,59,en,red,red
255,0,139,en,pink,pink
184,255,0,en,green,green
255,187,0,en,orange,orange
255,89,0,en,red orange,red orange
255,0,101,en,red,red
181,0,255,en,purple,purple
130,255,0,en,apple green,apple green
255,253,0,en,yellow,yellow
255,0,26,en,red,red
255,0,141,en,pink,pink
255,0,194,en,pink,pink
255,221,0,en,yellow,yellow
115,0,255,en,purple,purple
156,255,0,en,lime green,lime
255,0,60,en,red,red
255,62,0,en,red,red
251,255,0,en,yellow,yellow
255,0,95,en,red,red
255,0,224,en,pink,pink
255,200,0,en,orange,orange
207,255,0,en,citrus (yellow green),citrus (yellow green)
86,255,0,en,green,green
218,0,255,en,purple,purple
247,0,255,en,pink,pink
255,165,0,en,orange,orange
28,0,255,en,dark blue,dark blue
255,0,173,en,pink,pink
255,138,0,en,orange,orange
255,101,0,en,orange,orange
255,190,0,en,goldenrod,goldenrod
136,255,0,en,lime green,lime
199,0,255,en,violet,violet
255,0,245,en,fuschia,fuschia
74,0,255,en,royal blue,royal blue
255,0,14,en,crimson,crimson
255,96,0,en,red orange,red orange
238,255,0,en,lemon yellow,lemon yellow
255,12,0,en,crimson,crimson
255,136,0,en,yellow orange,yellow orange
255,0,98,en,magenta,magenta
209,255,0,en,lemon yellow,lemon yellow
255,0,195,en,fuschia,fuschia
52,255,0,en,lime green,lime
255,0,56,en,crimson,crimson
255,0,157,en,magenta,magenta
255,231,0,en,lemon yellow,lemon yellow
255,0,142,en,magenta,magenta
255,168,0,en,goldenrod,goldenrod
125,0,255,en,grape,grape
249,0,255,en,violet,violet
255,0,215,en,pink,pink
255,178,0,en,orange,orange
81,0,255,en,indigo,indigo
255,0,48,en,red,red
119,0,255,en,violet,violet
255,101,0,en,umber,umber
255,0,67,en,red,red
90,255,0,en,green,green
255,238,0,en,yellow,yellow
255,52,0,en,red orange,red orange
167,255,0,en,grass green,grass green
255,131,0,en,orange,orange
210,255,0,en,yellow green,yellow green
255,0,212,en,pink,pink
255,0,142,en,pink,pink
206,0,255,en,purple,purple
255,253,0,en,yellow,yellow
255,0,157,en,pink,pink
255,241,0,en,yellow,yellow
255,0,224,en,pink purple,pink purple
120,0,255,en,blue,blue
255,0,190,en,pink2,pink
255,159,0,en,orange,orange
255,0,162,en,pink,pink
255,200,0,en,orange2,orange
125,255,0,en,lime green,lime
255,0,136,en,pink,pink
255,64,0,en,orange,orange
255,0,2,en,red,red
255,0,93,en,pink2,pink
227,255,0,en,yellow,yellow
255,255,0,en,yellow,yellow
255,104,0,en,orange2,orange
193,0,255,en,purple2,purple
142,255,0,en,green,green
224,0,255,en,purple,purple
255,0,66,en,pink,pink
255,139,0,en,orange,orange
135,0,255,en,purple,purple
211,255,0,en,acid yellow,acid yellow
174,255,0,en,lime green,lime
255,0,228,en,schiaparelli,schiaparelli
255,0,23,en,scarlet,scarlet
255,0,166,en,fuschia,fuschia
255,0,201,en,fuschia,fuschia
228,255,0,en,yellow,yellow
255,215,0,en,golden yellow,golden yellow
255,0,232,en,magenta,magenta
255,161,0,en,orange,orange
255,0,46,en,red,red
255,198,0,en,golden orange,golden orange
255,107,0,en,red orange,red orange
255,0,145,en,magenta,magenta
108,255,0,en,green yellow,green yellow
255,0,78,en,fuschia,fuschia
255,147,0,en,orange,orange
255,0,179,en,magenta,magenta
255,64,0,en,red orange,red orange
255,0,97,en,fuschia,fuschia
142,0,255,en,purple,purple
217,0,255,en,purple magenta,purple magenta
149,255,0,en,neon green,neon green
243,255,0,en,yellow,yellow
255,0,140,en,magenta,magenta
252,0,255,en,fushia,fushia
255,89,0,en,orange,orange
255,0,82,en,pink,pink
255,0,46,en,red,red
229,0,255,en,purple,purple
210,255,0,en,yellow,yellow
212,0,255,en,purple,purple
255,182,0,en,dark yellow,dark yellow
122,255,0,en,yellow green,yellow green
255,157,0,en,orange,orange
255,147,0,en,light orange,light orange
255,72,0,en,dark orange,dark orange
255,0,49,en,red,red
255,252,0,en,yellow,yellow
255,0,160,en,magenta,magenta
150,0,255,en,purple,purple
255,225,0,en,gold,gold
30,255,0,en,green,green
71,255,0,en,green,green
202,255,0,en,lime green,lime
255,0,24,en,red,red
255,83,0,en,coral,coral
255,238,0,en,yellow,yellow
255,0,68,en,pink,pink
255,0,212,en,pink,pink
153,255,0,en,green,green
245,255,0,en,yellow,yellow
255,122,0,en,orange,orange
255,193,0,en,hello,hello
143,0,255,en,purple,purple
67,0,255,en,blue,blue
255,35,0,en,red,red
255,157,0,en,orange,orange
255,0,116,en,pink,pink
255,0,186,en,pink,pink
255,0,249,en,pink,pink
203,0,255,en,purple,purple
255,0,93,en,pink,pink
255,0,155,en,pink,pink
255,0,199,en,pink,pink
142,0,255,en,purple,purple
255,0,233,en,pink,pink
255,51,0,en,red,red
255,0,84,en,redish pink,redish pink
248,0,255,en,pink,pink
218,255,0,en,yellow,yellow
255,0,18,en,red,red
255,0,114,en,pink,pink
255,227,0,en,yellow,yellow
255,197,0,en,yellow,yellow
255,84,0,en,orange,orange
255,139,0,en,orange,orange
210,0,255,en,purple,purple
81,255,0,en,green,green
170,255,0,en,green,green
255,181,0,en,orange,orange
255,0,76,en,red,red
255,0,162,en,pink,pink
255,244,0,en,yellow,yellow
255,214,0,en,yellow,yellow
95,0,255,en,purple,purple
78,255,0,en,green,green
255,207,0,en,yellow,yellow
255,52,0,en,red,red
171,0,255,en,purple,purple
255,245,0,en,yellow,yellow
65,0,255,en,purple,purple
255,82,0,en,red,red
230,0,255,en,purple,purple
225,255,0,en,yellow,yellow
255,0,170,en,pink,pink
255,0,189,en,pink,pink
255,148,0,en,orange,orange
255,0,64,en,red,red
255,0,40,en,red,red
255,0,135,en,pink,pink
255,0,110,en,pink,pink
255,0,236,en,purple,purple
178,255,0,en,green,green
255,181,0,en,yellow,yellow
255,0,60,en,red,red
255,150,0,en,orange,orange
255,102,0,en,orange,orange
255,191,0,en,yellow,yellow
254,0,255,en,purple,purple
255,0,98,en,pink,pink
255,0,167,en,pink,pink
108,255,0,en,green,green
118,0,255,en,purple,purple
255,0,187,en,pink,pink
208,0,255,en,purple,purple
255,234,0,en,yellow,yellow
255,73,0,en,orange,orange
242,255,0,en,yellow,yellow
205,255,0,en,yellow,yellow
255,0,224,en,purple,purple
255,157,0,en,orange,orange
255,0,134,en,pink,pink
255,0,24,en,red,red
149,255,0,en,green,green
255,110,0,en,international orange,international orange
3,0,255,en,blue,blue
255,28,0,en,vermillion,vermillion
107,255,0,en,chartreuse,chartreuse
255,0,86,en,ruby,ruby
255,200,0,en,goldenrod,goldenrod
255,0,194,en,magenta,magenta
236,255,0,en,yellow,yellow
243,0,255,en,fuschia,fuschia
150,255,0,en,lime green,lime
255,0,141,en,magenta,magenta
255,0,44,en,crimson,crimson
255,140,0,en,tangerine,tangerine
255,236,0,en,gold,gold
201,0,255,en,orchid,orchid
198,255,0,en,green yellow,green yellow
255,0,63,en,crimson,crimson
255,0,216,en,fuschia,fuschia
255,0,160,en,orchid,orchid
255,178,0,en,tangerine,tangerine
97,0,255,en,indigo,indigo
106,255,0,en,lime green,lime
29,255,0,en,dark lime green,dark lime green
227,0,255,en,fushia,fushia
187,255,0,en,pear green,pear green
157,0,255,en,light purple,light purple
255,179,0,en,pumpkin orange,pumpkin orange
255,210,0,en,orange yellow,orange yellow
255,0,89,en,hot pink,hot pink
255,0,71,en,dark hot pink,dark hot pink
255,40,0,en,red,red
255,214,0,en,slightly lighter orange yellow,slightly lighter orange yellow
250,255,0,en,yellow,yellow
149,255,0,en,lime green,lime
255,0,234,en,light pink,light pink
255,144,0,en,orange,orange
255,104,0,en,dark orange,dark orange
255,0,201,en,lighter pink,lighter pink
255,0,153,en,darker pink,darker pink
195,0,255,en,light purple,light purple
255,0,140,en,pink,pink
255,0,44,en,red,red
155,255,0,en,lime,lime
255,195,0,en,autumn,autumn
168,0,255,en,purple,purple
255,0,43,en,red,red
255,0,69,en,hot pink,hot pink
125,0,255,en,violet,violet
255,0,97,en,pink,pink
255,91,0,en,hot orange,hot orange
255,140,0,en,orange,orange
255,177,0,en,light orange,light orange
255,0,244,en,neon pink,neon pink
239,0,255,en,pinkish purple,pinkish purple
255,35,0,en,red,red
255,255,0,en,yellow,yellow
196,255,0,en,yellowish green,yellowish green
255,0,208,en,hot pink,hot pink
56,255,0,en,hot green,hot green
255,231,0,en,yellow,yellow
255,0,161,en,neon pink,neon pink
255,0,119,en,reddish pink,reddish pink
255,0,64,en,red,red
255,0,233,en,pink,pink
255,138,0,en,orange,orange
255,17,0,en,red,red
255,0,82,en,vivid red,vivid red
255,0,169,en,pink,pink
217,255,0,en,lime green,lime
255,231,0,en,yellow ochre,yellow ochre
255,108,0,en,burnt amber,burnt amber
180,0,255,en,purple,purple
227,0,255,en,vivid purple,vivid purple
107,0,255,en,deep purble,deep purble
255,0,204,en,vivid pink,vivid pink
239,255,0,en,lime green,lime
159,255,0,en,vivid green,vivid green
255,0,44,en,red vermillion,red vermillion
255,185,0,en,burnt ochre,burnt ochre
77,0,255,en,electric blue,electric blue
62,255,0,en,vivid green,vivid green
255,179,0,en,orange ochre,orange ochre
255,0,112,en,pinky red,pinky red
255,0,25,en,red,red
255,249,0,en,yellow,yellow
255,75,0,en,dark orange,dark orange
177,255,0,en,lime green,lime
255,0,139,en,magenta,magenta
144,0,255,en,purple,purple
255,0,64,en,dark pink,dark pink
75,255,0,en,green,green
255,0,229,en,pink purple,pink purple
255,100,0,en,orange,orange
255,222,0,en,yellow,yellow
187,0,255,en,purple,purple
255,0,175,en,magenta,magenta
29,255,0,en,green,green
255,0,247,en,pink purple,pink purple
255,0,83,en,dark pink,dark pink
255,170,0,en,yellow orange,yellow orange
255,195,0,en,dark yellow,dark yellow
255,137,0,en,dark orange,dark orange
255,0,204,en,magenta,magenta
200,255,0,en,yellow,yellow
255,0,94,en,pink,pink
255,22,0,en,red,red
123,0,255,en,navy blue,navy
255,0,42,en,red,red
255,122,0,en,orange,orange
255,250,0,en,yellow,yellow
171,0,255,en,purple,purple
129,255,0,en,green,green
255,197,0,en,orange,orange
158,255,0,en,lime green,lime
240,0,255,en,purple,purple
255,228,0,en,yellow,yellow
255,156,0,en,orange,orange
255,0,65,en,red,red
255,0,200,en,periwinkle,periwinkle
255,0,147,en,pink,pink
255,108,0,en,orange,orange
210,255,0,en,lime green,lime
255,0,245,en,periwinkle,periwinkle
255,0,114,en,pink,pink
255,0,108,en,magenta,magenta
255,0,176,en,pink,pink
255,0,119,en,red pink,red pink
255,204,0,en,yellow,yellow
115,255,0,en,limegreen,lime
160,0,255,en,violet,violet
255,71,0,en,red,red
228,0,255,en,purple,purple
255,238,0,en,yellow,yellow
255,0,163,en,magenta,magenta
194,255,0,en,limegreen,lime
255,100,0,en,orange,orange
255,0,64,en,ruby,ruby
149,255,0,en,limegreen,lime
197,0,255,en,violet,violet
255,121,0,en,orange,orange
255,0,33,en,red,red
255,0,230,en,purple,purple
249,255,0,en,yellow,yellow
255,156,0,en,yellowish orange,yellowish orange
255,248,0,en,yellow,yellow
119,255,0,en,lime green,lime
255,0,99,en,red,red
255,0,127,en,pink red,pink red
222,255,0,en,yellow green,yellow green
255,0,173,en,magenta,magenta
255,0,73,en,red,red
218,0,255,en,purple,purple
255,177,0,en,orange yellow,orange yellow
242,0,255,en,light purple,light purple
255,100,0,en,orange,orange
255,0,179,en,pink,pink
255,233,0,en,yellow,yellow
255,118,0,en,orange,orange
72,0,255,en,dark blue,dark blue
127,0,255,en,purple,purple
174,255,0,en,green,green
107,255,0,en,green,green
184,0,255,en,purple,purple
255,134,0,en,orange,orange
255,0,171,en,pink,pink
255,180,0,en,mustard,mustard
255,226,0,en,yellow,yellow
255,0,121,en,dark pink,dark pink
250,255,0,en,yellow,yellow
255,0,252,en,fuschia,fuschia
255,26,0,en,red,red
255,211,0,en,yellow,yellow
255,0,239,en,fuschia,fuschia
255,0,62,en,red,red
255,0,190,en,pink,pink
213,255,0,en,green,green
255,0,23,en,red,red
255,0,103,en,pink,pink
255,133,0,en,orange,orange
225,0,255,en,magenta,magenta
213,0,255,en,magenta,magenta
255,0,209,en,magenta,magenta
255,214,0,en,yellow,yellow
255,0,212,en,magneta,magneta
255,202,0,en,yello,yello
151,255,0,en,pea green,pea green
255,165,0,en,brownish orange,brownish orange
255,0,66,en,red,red
3,255,0,en,lime green,lime
255,0,94,en,red,red
87,255,0,en,lime green,lime
255,0,46,en,red,red
227,255,0,en,yellow,yellow
255,244,0,en,yellow,yellow
106,0,255,en,purple,purple
255,118,0,en,orange,orange
255,32,0,en,red,red
255,120,0,en,orange,orange
100,0,255,en,blue,blue
255,0,61,en,red,red
172,255,0,en,green,green
49,255,0,en,green,green
255,0,28,en,red,red
255,0,134,en,purple,purple
217,255,0,en,yellow,yellow
255,167,0,en,orange,orange
255,99,0,en,orange,orange
252,255,0,en,yellow,yellow
255,0,221,en,purple,purple
255,0,90,en,red,red
221,0,255,en,purple,purple
255,235,0,en,yellow,yellow
255,0,154,en,pink,pink
255,0,182,en,purple,purple
255,204,0,en,yellow,yellow
255,39,0,en,red,red
164,0,255,en,purple,purple
255,0,234,en,pink,pink
157,255,0,en,leaf green,leaf green
218,0,255,en,voilet,voilet
255,124,0,en,orange,orange
255,52,0,en,red,red
203,255,0,en,yellow green,yellow green
255,0,249,en,pink,pink
255,190,0,en,dark yellow,dark yellow
255,214,0,en,yellow,yellow
255,0,191,en,light pink,light pink
255,165,0,en,orange,orange
255,0,139,en,rose,rose
255,0,11,en,red,red
255,0,145,en,rose,rose
255,0,67,en,red,red
255,0,97,en,dark red,dark red
122,255,0,en,light green,light green
255,101,0,en,orange,orange
151,0,255,en,purple,purple
248,255,0,en,yellow,yellow
75,0,255,en,blue,blue
255,0,242,en,fuscia,fuscia
56,255,0,en,lime green,lime
255,0,39,en,red,red
131,0,255,en,violet,violet
255,0,115,en,pink,pink
255,105,0,en,tangerine,tangerine
255,0,172,en,hot pink,hot pink
255,165,0,en,orange,orange
169,255,0,en,lime green,lime
255,249,0,en,lemon,lemon
255,131,0,en,orange,orange
255,232,0,en,yellow,yellow
255,0,107,en,pink,pink
255,0,59,en,red,red
255,29,0,en,fire engine red,fire engine red
222,255,0,en,neon yellow,neon yellow
188,0,255,en,purple,purple
255,0,249,en,fuscia,fuscia
255,209,0,en,orangey yellow,orangey yellow
68,0,255,en,navy,navy
255,222,0,en,bright yellow,bright yellow
255,0,77,en,red,red
255,208,0,en,mustard yellow,mustard
255,143,0,en,orange,orange
247,255,0,en,canary yellow,canary yellow
255,0,153,en,fuscia,fuscia
255,172,0,en,burnt orange,burnt orange
101,0,255,en,deep blue,deep blue
255,0,135,en,fuschia,fuschia
255,0,200,en,bright pink,bright pink
255,0,220,en,fuschia,fuschia
168,255,0,en,bright green,bright green
255,114,0,en,deep orange,deep orange
255,0,252,en,pink,pink
255,0,64,en,red,red
135,255,0,en,lime green,lime
255,0,142,en,piiiink,piiiink
121,255,0,en,liiiiiime green,liiiiiime green
126,0,255,en,purple,purple
255,0,143,en,piiiiiiiiiink,piiiiiiiiiink
255,140,0,en,orange,orange
255,102,0,en,dark orange,dark orange
255,0,84,en,light red,light red
255,178,0,en,light orange,light orange
209,255,0,en,lime,lime
255,30,0,en,red,red
255,0,198,en,pink,pink
179,255,0,en,neon green,neon green
255,195,0,en,golden orange,golden orange
30,255,0,en,green,green
27,0,255,en,blue,blue
175,0,255,en,purple,purple
255,0,61,en,magenta,magenta
255,0,218,en,neon pink,neon pink
255,0,120,en,magenta,magenta
255,0,109,en,magenta,magenta
204,255,0,en,lime green,lime
255,231,0,en,yellow,yellow
255,58,0,en,red,red
255,0,172,en,neon pink,neon pink
255,0,255,en,neon pink,neon pink
255,0,203,en,neon pink,neon pink
255,0,43,en,red,red
255,129,0,en,orange,orange
255,94,0,en,orange,orange
231,255,0,en,yellow,yellow
255,160,0,en,orange,orange
124,255,0,en,lime green,lime
111,0,255,en,neon purple,neon purple
214,0,255,en,purple,purple
255,93,0,en,orange,orange
255,38,0,en,red,red
255,191,0,en,yellow,yellow
225,255,0,en,yellow,yellow
255,139,0,en,orange,orange
255,0,61,en,red,red
255,0,218,en,purple,purple
255,0,131,en,red,red
255,165,0,en,orange,orange
255,255,0,en,yellow,yellow
150,0,255,en,purple,purple
74,0,255,en,blue,blue
255,0,197,en,pink,pink
255,0,63,en,red,red
255,0,217,en,pink,pink
203,0,255,en,purple,purple
239,255,0,en,yellow,yellow
255,120,0,en,orange,orange
255,95,0,en,orange,orange
255,1,0,en,red,red
100,0,255,en,purple,purple
255,0,131,en,pink,pink
139,255,0,en,green,green
192,255,0,en,yellow green,yellow green
255,0,148,en,pink,pink
255,0,105,en,pink,pink
255,179,0,en,orange,orange
255,191,0,en,orange,orange
255,0,33,en,red,red
115,255,0,en,green,green
238,0,255,en,magenta,magenta
255,237,0,en,yellow,yellow
94,0,255,en,blue purple,blue purple
255,218,0,en,yellow,yellow
203,255,0,en,yellow green,yellow green
163,255,0,en,bright green,bright green
220,0,255,en,purple,purple
255,175,0,en,light orange,light orange
183,0,255,en,purple,purple
255,252,0,en,yellow,yellow
255,136,0,en,orange,orange
255,0,126,en,hot pink,hot pink
83,255,0,en,green,green
255,0,83,en,red,red
255,0,161,en,hot pink,hot pink
255,74,0,en,red,red
255,0,202,en,fuchsia,fuchsia
255,209,0,en,yellow,yellow
255,0,66,en,red,red
255,106,0,en,red orange,red orange
255,170,0,en,orange,orange
255,0,201,en,hot pink,hot pink
255,0,73,en,red,red
198,255,0,en,lime green,lime
255,0,228,en,pink,pink
164,255,0,en,lime green,lime
255,62,0,en,red,red
255,0,122,en,pink,pink
71,255,0,en,kelly green,kelly green
255,114,0,en,orange,orange
255,232,0,en,yellow,yellow
232,255,0,en,yellow,yellow
255,0,47,en,red,red
196,0,255,en,purple,purple
255,211,0,en,mustard yellow,mustard
255,0,81,en,red,red
255,0,247,en,fuchsia,fuchsia
131,0,255,en,purple,purple
255,123,0,en,orange,orange
255,0,143,en,pink,pink
255,0,9,en,scarlet,scarlet
255,23,0,en,red,red
186,255,0,en,chartreuse,chartreuse
255,0,88,en,hot pink,hot pink
253,0,255,en,magenta,magenta
255,246,0,en,yellow,yellow
255,90,0,en,dark orange,dark orange
255,0,60,en,rose,rose
255,159,0,en,light orange,light orange
129,255,0,en,green,green
114,0,255,en,purple,purple
137,255,0,en,green,green
255,129,0,en,orange,orange
255,0,179,en,purple pink,purple pink
255,0,142,en,hot pink,hot pink
255,0,212,en,magenta,magenta
255,0,148,en,purple,purple
255,0,119,en,pink,pink
255,40,0,en,red,red
255,95,0,en,orange,orange
255,0,223,en,purple,purple
255,135,0,en,orange,orange
255,0,102,en,red,red
103,255,0,en,green,green
70,0,255,en,blue,blue
255,207,0,en,yellow,yellow
255,0,186,en,purple,purple
255,0,150,en,pink,pink
255,180,0,en,orange,orange
135,0,255,en,purple,purple
246,0,255,en,purple,purple
193,255,0,en,lime,lime
255,0,21,en,red,red
241,255,0,en,yellow,yellow
255,229,0,en,yellow,yellow
192,0,255,en,puple,puple
179,255,0,en,lime,lime
255,0,64,en,red,red
255,0,56,en,red,red
255,209,0,en,yellow orange,yellow orange
255,0,115,en,hot pink,hot pink
255,0,106,en,pink,pink
85,0,255,en,purple,purple
255,0,32,en,red,red
255,0,231,en,magenta,magenta
255,0,202,en,magenta,magenta
255,52,0,en,red,red
255,106,0,en,orange,orange
255,140,0,en,orange,orange
156,255,0,en,lime,lime
255,224,0,en,yellow,yellow
104,255,0,en,light green,light green
255,0,171,en,pink,pink
193,255,0,en,green,green
118,0,255,en,purple,purple
211,0,255,en,pink,pink
255,170,0,en,orange,orange
235,255,0,en,yellow,yellow
255,0,249,en,pink,pink
212,255,0,en,green,green
255,88,0,en,orange,orange
255,0,36,en,red,red
255,123,0,en,orange,orange
168,0,255,en,purple,purple
150,0,255,en,purple,purple
219,0,255,en,pink,pink
188,0,255,en,purple,purple
255,196,0,en,yellow,yellow
119,255,0,en,green,green
255,122,0,en,orange,orange
224,255,0,en,green,green
239,0,255,en,purple,purple
255,164,0,en,orange,orange
255,206,0,en,yellow,yellow
99,255,0,en,green,green
255,0,130,en,pink,pink
191,255,0,en,green,green
255,0,104,en,pink,pink
163,255,0,en,green,green
255,0,67,en,pink,pink
68,0,255,en,blue,blue
255,0,231,en,pink,pink
215,0,255,en,purple,purple
255,0,92,en,red,red
255,167,0,en,yellow,yellow
255,0,142,en,pink,pink
255,207,0,en,yellow,yellow
255,218,0,en,yellow,yellow
255,0,33,en,red,red
255,0,166,en,pink,pink
156,255,0,en,green,green
255,0,85,en,red,red
255,0,142,en,pink,pink
255,108,0,en,orange,orange
255,55,0,en,red,red
104,0,255,en,purple,purple
255,0,154,en,pink,pink
255,0,220,en,pink,pink
85,0,255,en,blue,blue
247,0,255,en,pink,pink
143,0,255,en,purple,purple
255,115,0,en,orange,orange
82,255,0,en,green,green
255,0,198,en,pink,pink
255,0,72,en,read,read
52,255,0,en,green,green
255,43,0,en,red,red
255,221,0,en,yellow,yellow
255,160,0,en,orange,orange
253,255,0,en,yellow,yellow
255,0,217,en,pink,pink
136,255,0,en,green,green
169,255,0,en,green,green
255,235,0,en,yelloe,yelloe
255,244,0,en,yellow,yellow
219,255,0,en,green,green
255,19,0,en,red,red
255,0,40,en,red,red
255,0,175,en,pink,pink
255,120,0,en,orange,orange
181,0,255,en,purple,purple
255,139,0,en,orange,orange
255,79,0,en,red,red
255,0,200,en,pink,pink
255,0,30,en,red,red
255,164,0,en,yellow,yellow
253,255,0,en,yellow,yellow
255,82,0,en,red,red
255,223,0,en,yellow,yellow
255,0,252,en,pink,pink
146,0,255,en,purple,purple
255,0,50,en,red,red
250,255,0,en,yellow,yellow
255,0,218,en,pink,pink
255,0,179,en,pink,pink
255,0,62,en,red,red
255,0,164,en,pink,pink
255,0,136,en,pink,pink
255,0,96,en,red,red
255,0,187,en,pink,pink
255,190,0,en,yellow,yellow
255,0,245,en,bright pink,bright pink
132,255,0,en,lime,lime
139,0,255,en,purple,purple
255,0,171,en,pink,pink
255,0,135,en,dark pink,dark pink
255,86,0,en,red orange,red orange
255,0,68,en,red,red
255,122,0,en,orange,orange
255,239,0,en,yellow,yellow
255,249,0,en,sunflower,sunflower
181,0,255,en,purple,purple
177,255,0,en,vomit,vomit
255,194,0,en,pumpkin,pumpkin
199,255,0,en,gangrene,gangrene
234,0,255,en,purple,purple
255,0,88,en,smooth red,smooth red
255,160,0,en,orange,orange
255,35,0,en,red,red
255,0,22,en,red,red
146,0,255,en,indigo,indigo
255,0,121,en,pink,pink
255,8,0,en,red,red
255,166,0,en,orange,orange
255,207,0,en,light orange,light orange
255,0,56,en,coral,coral
255,134,0,en,orange,orange
203,255,0,en,lime green,lime
255,254,0,en,yellow,yellow
214,0,255,en,purple,purple
177,255,0,en,light green,light green
129,255,0,en,grass green,grass green
252,0,255,en,pink,pink
255,0,145,en,hot pink,hot pink
255,0,216,en,pink,pink
255,117,0,en,orange,orange
255,0,85,en,fuchia,fuchia
255,0,190,en,pink,pink
255,239,0,en,yellow,yellow
255,0,25,en,red,red
255,247,0,en,yellow,yellow
255,0,90,en,pink,pink
142,255,0,en,green,green
255,0,20,en,red,red
122,255,0,en,green,green
255,224,0,en,yellow,yellow
255,139,0,en,orange,orange
255,0,213,en,pink,pink
218,0,255,en,purple,purple
85,0,255,en,blue,blue
255,206,0,en,yellow,yellow
155,0,255,en,purpel,purpel
255,0,194,en,pink,pink
255,0,8,en,red,red
255,80,0,en,red,red
252,255,0,en,yellow,yellow
255,146,0,en,orange,orange
255,0,158,en,pink,pink
255,0,67,en,red,red
255,88,0,en,red,red
255,236,0,en,yellow,yellow
57,255,0,en,green,green
85,0,255,en,dark blue,dark blue
255,0,76,en,red,red
255,112,0,en,bright orange,bright orange
255,0,239,en,pink,pink
